Semaine,Date_debut,Mois,Trimestre,Maladie,Total_cas,Total_deces,Taux_letalite_pct
2023-S03,2023-01-19,1,Q1,Infection respiratoire aiguë,5143.0,0.0,0.0
2023-S03,2023-01-22,1,Q1,Infection respiratoire aiguë,2701.0,1.0,0.04
2023-S04,2023-01-23,1,Q1,Infection respiratoire aiguë,91744.0,3586.2000000000003,3.91
2023-S04,2023-01-24,1,Q1,Infection respiratoire aiguë,4528.0,1.0,0.02
2023-S04,2023-01-26,1,Q1,Infection respiratoire aiguë,4686.0,0.0,0.0
2023-S04,2023-01-29,1,Q1,Infection respiratoire aiguë,1854.0,0.0,0.0
2023-S05,2023-01-30,1,Q1,Infection respiratoire aiguë,94795.0,30.0,0.03
2023-S05,2023-02-01,2,Q1,Infection respiratoire aiguë,87814.0,20.0,0.02
2023-S06,2023-02-06,2,Q1,Infection respiratoire aiguë,13408.0,1.0,0.01
2023-S07,2023-02-13,2,Q1,Infection respiratoire aiguë,100448.0,3332.0,3.32
2023-S07,2023-02-16,2,Q1,Infection respiratoire aiguë,5285.0,0.0,0.0
2023-S08,2023-02-20,2,Q1,Infection respiratoire aiguë,85740.0,3056.0,3.56
2023-S08,2023-02-22,2,Q1,Infection respiratoire aiguë,5843.0,1.0,0.02
2023-S08,2023-02-23,2,Q1,Infection respiratoire aiguë,3650.0,1.0,0.03
2023-S22,2023-06-02,6,Q2,Infection respiratoire aiguë,87649.0,17.0,0.02
2023-S26,2023-07-01,7,Q3,Infection respiratoire aiguë,3267.0,3.0,0.09
2023-S35,2023-09-01,9,Q3,Infection respiratoire aiguë,85135.0,18.0,0.02
2023-S35,2023-09-02,9,Q3,Infection respiratoire aiguë,5529.0,0.0,0.0
2023-S48,2023-12-01,12,Q4,Infection respiratoire aiguë,4640.0,0.0,0.0
2023-S48,2023-12-02,12,Q4,Infection respiratoire aiguë,131.0,0.0,0.0
2023-S03,2023-01-16,1,Q1,MAPI GRAVES,0.0,0.0,0.0
2023-S04,2023-01-23,1,Q1,MAPI GRAVES,2.0,0.0,0.0
2023-S05,2023-01-30,1,Q1,MAPI GRAVES,1.0,0.0,0.0
2023-S05,2023-02-01,2,Q1,MAPI GRAVES,1.5,0.0,0.0
2023-S07,2023-02-13,2,Q1,MAPI GRAVES,2.0,2.0,100.0
2023-S08,2023-02-20,2,Q1,MAPI GRAVES,2.0,0.0,0.0
2023-S22,2023-06-02,6,Q2,MAPI GRAVES,2.0,0.0,0.0
2023-S35,2023-09-01,9,Q3,MAPI GRAVES,0.0,0.0,0.0
2023-S01,2023-01-02,1,Q1,MAPI LEGERES,5.0,0.0,0.0
2023-S02,2023-01-09,1,Q1,MAPI LEGERES,18.0,0.0,0.0
2023-S03,2023-01-16,1,Q1,MAPI LEGERES,158.0,0.0,0.0
2023-S03,2023-01-22,1,Q1,MAPI LEGERES,2.0,0.0,0.0
2023-S04,2023-01-23,1,Q1,MAPI LEGERES,112.0,0.0,0.0
2023-S04,2023-01-24,1,Q1,MAPI LEGERES,3.0,0.0,0.0
2023-S05,2023-01-30,1,Q1,MAPI LEGERES,174.0,0.0,0.0
2023-S05,2023-02-01,2,Q1,MAPI LEGERES,33.0,0.0,0.0
